"hasTarget","CAS.nummer","EC.Nummer","Stofnaam_IUPAC","CLP_Aanwezig","SVHC_Aanwezig","Restrict_Aanwezig","POP_Aanwezig","OSPAR_Aanwezig","WFD_Aanwezig","Gewas_Aanwezig","Biociden_Aanwezig"
"","1119449-38-5","","2-{2-[4-(3,6-dimethylheptan-3-yl)phenoxy]ethoxy}ethanol",0,1,0,0,0,0,0,0
"","113066-89-0","442-750-5","cobalt lithium nickel oxide",1,0,0,0,0,0,0,0
"","113894-88-5","","Nickel, [29H,31H-phthalocyaninato(2-)-κN29,κN30,κN31,κN32]-, sulfo [[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]amino]sulfonyl derivs., potassium sodium salts",0,0,1,0,0,1,0,0
"","113894-89-6","","Nickelate(6-), [4-[2-[5-[[(3,6-dichloro-4-pyridazinyl)carbonyl]amino]-2-sulfophenyl]diazenyl]-4,5-dihydro-5-oxo-1-[5-[[(C,C,C-trisulfo-29H,31H-phthalocyanin-C-yl)sulfonyl]amino]-2-sulfophenyl]-1H-pyrazole-3-carboxylato(8-)-κN29,κN30,κN31,κN32]-, sodium",0,0,1,0,0,1,0,0
"","1139800-98-8","","4-(4-methylhexyl)phenol",0,1,0,0,0,0,0,0
"","1144512-18-4","","Heptanoic acid, 2,2,3,3,4,5,5,6,6,7,7,7-dodecafluoro-4-(trifluoromethyl)-|Heptanoic acid, 2,2,3,3,4,5,5,6,6,7,7,7-dodecafluoro-4-(trifluoromethyl)-",0,0,0,1,0,0,0,0
"","1144512-34-4","","Hexanoic acid, 2,2,3,3,4,4,6,6,6-nonafluoro-5,5-bis(trifluoromethyl)-|Hexanoic acid, 2,2,3,3,4,4,6,6,6-nonafluoro-5,5-bis(trifluoromethyl)-",0,0,0,1,0,0,0,0
"","1144512-35-5","","Hexanoic acid, 2,2,3,4,4,5,6,6,6-nonafluoro-3,5-bis(trifluoromethyl)-|Hexanoic acid, 2,2,3,4,4,5,6,6,6-nonafluoro-3,5-bis(trifluoromethyl)-",0,0,0,1,0,0,0,0
"","1144512-36-6","","Hexanoic acid, 2,2,3,3,4,5,6,6,6-nonafluoro-4,5-bis(trifluoromethyl)-|Hexanoic acid, 2,2,3,3,4,5,6,6,6-nonafluoro-4,5-bis(trifluoromethyl)-",0,0,0,1,0,0,0,0
"","114601-64-8","","1-Propanesulfonic acid, 2-hydroxy-, lead salt",0,0,1,0,0,1,0,0
"","115592-83-1","","2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate, hexadecyl 2-propenoate, N-(hydroxymethyl)-2-propenamide, octadecyl 2-prop",0,0,0,1,0,0,0,0
"","116565-73-2","","Chromium lead molybdenum oxide sulfate, silica-modified",0,0,1,0,0,1,0,0
"","116565-74-3","","Chromium lead oxide sulfate, silica-modified",0,0,1,0,0,1,0,0
"","116854-17-2","","Tetracosanoic acid, cadmium salt",0,0,1,0,0,1,0,0
"","116920-59-3","","Tricosanoic acid, cadmium salt",0,0,1,0,0,1,0,0
"","116984-14-6","","2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate, alpha-(2-methyl-1-oxo-2-propenyl)-omega-[(2-methyl-1-oxo-2-propenyl)oxy]p",0,0,0,1,0,0,0,0
"","117527-94-3","403-720-7","reaction mass of: <i>tert</i>-alkyl(C<sub>12</sub>-C<sub>14</sub>)ammonium bis[1-[(2-hydroxy-5-nitrophenyl)azo]-2-naphthalenolato(2-)]-chromate(1-)|<i>tert</i>-alkyl(C<sub>12</sub>-C<sub>14</sub>)ammonium bis[1-[(2-hydroxy-4-nitrophenyl)azo]-2-naphthaleno",1,0,0,0,0,0,0,0
